,Screen_name,Name,Number_of_Followers,Location,Url,description,profile_image,Category
0,@cerysmatthews,Cerys Matthews (Ms),92335.0, Cofiwch Dryweryn,https://t.co/KJhQ9xSwgF,We Come From The Sun:Hidden Orchestra&10poets/Decca. Where the Wild Cooks Go/Penguin. BBC6+2. info@harmonicartists.com Voice: info@loudandclearvoices.com,https://pbs.twimg.com/profile_images/1137056803722878978/sJtL4wxy_normal.png,Music
1,@MotloutsiShimmy,Minister of broke boyfriends,24723.0,"Tzaneen, South Africa",,I speak my mind.,https://pbs.twimg.com/profile_images/1381956428278161409/O1xGORQn_normal.jpg,Music
2,@navgujaratsamay,NavGujarat Samay,26801.0,"Ahmedabad, Gujarat",https://t.co/Q3Yqd2sJhn,Checkout More @ Epaper: https://t.co/7w6vkodFS8 | FB: https://t.co/K9fQ5qWOn1 | Telegram: https://t.co/5CdOejL6GB | Instagram: https://t.co/NNLh5SX3H7 |,https://pbs.twimg.com/profile_images/1251611801944350721/E0Z5wIB3_normal.jpg,Music
3,@michel_fadel,michel fadel,219436.0,Lebanon,https://t.co/xcOcLSTP2q,"Music Composer, producer and pianist. Owner Michel Fadel Studio
Check out #FlySolo on YouTube ⬇️",https://pbs.twimg.com/profile_images/1337033420204072962/ooYMYWLJ_normal.jpg,Music
5,@CeciliaEgan1,Cecilia Egan,15132.0,London UK 🇬🇧 & Ireland 🇮🇪 ,,"🦋   I go where the wind blows. May the wind blow kindly for you may it forever be your friend. 🦋 
Photography. Art. Photos my own.
No DM. No Groups. No Porn.",https://pbs.twimg.com/profile_images/1304494840894414851/dW07eTRY_normal.jpg,Music
6,@UNinSouthAfrica,UN in South Africa,15337.0,"Pretoria, South Africa",https://t.co/TcWe72HVxL,"Official Twitter handle of the @UN System in #SouthAfrica. 

Facebook: https://t.co/gKekQkyKnm",https://pbs.twimg.com/profile_images/1121035695148105730/uLNbGhbq_normal.png,Music
7,@o_franco_aleman,Franck Marc,18279.0,Europe Europa ,,"frontalier - Grenzgänger - raiano              
(all photos are mine, except RT- RESPECT COPYRIGHT!)
-don't follow 2 unfollow or if you only like your own stuff",https://pbs.twimg.com/profile_images/715214834158145536/W2LG-9U-_normal.jpg,Music
9,@SOSmcWIN,SOSmcWIN / mfw RTs,12538.0,Available 24/7,https://t.co/xCPhPzEzeE,✯ Helping #SupportSmallStreamers Since 2017! ✯ Follow & mention for RTs! 🌟 BOT ONLINE + SPEED = 35s 🌟 Primarily will RT streamers or those who are live!,https://pbs.twimg.com/profile_images/1293339412093448196/TyTmM0uk_normal.jpg,Music
16,@ArtistRTweeters,Artist RTs,11301.0,USA,,"Artist Retweets. Supporting Artist Worldwide, Music or ART!
@ us for a retweet and use #music or #digitalart for a retweet",https://pbs.twimg.com/profile_images/1245407076039438338/KbG00RBG_normal.jpg,Music
18,@WoodooProd,Woodoo Prod,36854.0,Somewhere in Time..,https://t.co/4GjSb61kml,Woodoo Prod .:Sounds From Earth:. Music Producer. Talent Hunter.  Net Label. Social Media Consultancy. CM. Musicoin Ambassador. #BCH Power,https://pbs.twimg.com/profile_images/493705670961553408/52vJb2Al_normal.png,Music
19,@BotOfDogecoin,Dogecoin,53590.0,the moon,,Retweeting and promoting #Dogecoin,https://pbs.twimg.com/profile_images/1358571281961148422/YiIQoS2S_normal.jpg,Music
25,@RadiozityMusic,Radiozity Music ♬,6447.0,Helping musicians from Twitter and Periscope!,https://t.co/l9osMBjFcW,"Where words fail, music speaks. Follow us for fresh music videos from Twitter. Promote your music for free! DM is open to all. #Music #NewMusic",https://pbs.twimg.com/profile_images/992804435188269056/8qkrxkv7_normal.jpg,Music
26,@isrrocks,Indie Star Digital Media,12857.0,Rt. 66 and Around The World! ,https://t.co/DcfWKyLNiZ,"More than just Radio. Our Mailing address: 147 w route 66, #657 Glendora, California, 91740
https://t.co/BW96T0vF0q",https://pbs.twimg.com/profile_images/1350988261821456389/5PYGRbEu_normal.jpg,Music
27,@VumaFM,Vuma FM,36345.0,"KwaZulu, South Africa",https://t.co/VLx4iacJeP,Welcome to Vuma 103 FM - Adult Radio for the Young at Heart WhatsApp- 065 933 7172,https://pbs.twimg.com/profile_images/1243069024973570049/QRLyF3IL_normal.jpg,Music
28,@BriMatjuda,Madame Thickness,74452.0,,https://t.co/MmULyISafb,YAHUAH's masterpiece artwork - fearfully and wonderfully made. My story is for His glory ❤ #thickgirlmagic,https://pbs.twimg.com/profile_images/1311722850752045061/ajl4Dgo4_normal.jpg,Music
29,@ConcoursTwittos,Le Top Des Concours™,9795.0,Partout Et Nulle Part,https://t.co/B5LdfXkxpg,Gagnez en visibilité pour vos concours. Ne passez plus jamais à côté des meilleures occasions de remporter le gros lot !! Une donation = 1 RT ou Pub,https://pbs.twimg.com/profile_images/378800000451857831/4f8ac9777cb005577895f136c181c528_normal.png,Music
